Title,Author,Link,Season / Episode,Category,Description,Site,Recced by
The Question,https://www.notion.so/Sams_Sister-1ad20b08c7c743469d55cae4b337b5d4,https://archiveofourown.org/works/15187004,"Season 8, s08e07 Affinity",Fix-It,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
The unexpected kisses,https://www.notion.so/SaidbhinLuch-810bc99f1e8e44aeb7d369265570cd6e,https://archiveofourown.org/works/951869,Season 1,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
The Universal Language,https://www.notion.so/splash_the_cat-7712dce0585145b59a434c153dbfe4a7,https://archiveofourown.org/works/1707053,Season 5,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
The Way We Were,https://www.notion.so/Bekki-9b4370cd82f34bb580ea9e7d1c5b8148,https://www.fanfiction.net/s/4061870/14/The-Way-We-Were,Season 8,,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Together,https://www.notion.so/splash_the_cat-7712dce0585145b59a434c153dbfe4a7,https://archiveofourown.org/works/116580,Season 7,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Unite and Surrender,https://www.notion.so/MissAnnThropic-3fa7c497c3a8455e80815dc491df7266,https://archiveofourown.org/works/9711971,"Season 4, s04e05 Divide and Conquer",Canon-Compliant,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Unspoken,https://www.notion.so/Princess-of-Geeks-1a07e6d18cb646079ddff7c8327b0964,https://archiveofourown.org/works/71355,"Season 5, s05e21 Meridian",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Urgo,https://www.notion.so/RhinoHill-89e926fcc848413bb245ef5a7079eea0,https://archiveofourown.org/works/20301340,"Season 3, s03e16 Urgo",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
What Do You Do With a General?,https://www.notion.so/sjhw_tolerance-3a4593407f714c9380674c8f590a8a9d,https://archiveofourown.org/works/412934,Post-Series,"Christmas, Established Relationship",,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
What's Your Poison?,https://www.notion.so/wackyjacqs-e707b45222c84a1aaf7e6d05e74324fa,https://archiveofourown.org/works/17534309,Season 1,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
"Where would you be, then?",https://www.notion.so/musical-aven-dd29779941de4a63b9943779b55c35ab,https://www.fanfiction.net/s/6266511/1/Where-would-you-be-then,"Season 8, s08e07 Affinity",Fix-It,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Written in the Stars,https://www.notion.so/NEStar-ed3426c87adb41fc8265c8879baf0d40,https://archiveofourown.org/works/15539424,,"Alternate Universe, Soulmate AU",,AO3,
Xanadu,https://www.notion.so/Spiletta42-e9c53929d00e4fa788452020f1a72b19,https://archiveofourown.org/works/198296,Season 7,Accidentally Married,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
you brought music back into the house,https://www.notion.so/professortennant-f93d92928bd9416081d5291d70dfc7d7,https://archiveofourown.org/works/15157991,,"Alternate Universe, Sound of Music AU",,AO3,
Georgia's wedding date fic,https://www.notion.so/amaradangeli-e42d9c7984be4a44b7d5b220eb538beb,https://archiveofourown.org/works/20403058,,Fake Dating/Wedding Date,,AO3,
The Wedding,https://www.notion.so/AwwYouGuysMadeMeInk-0ad9641928c448078eed1eaff30eaeec,https://www.fanfiction.net/s/9849773/1/The-Wedding,,Fake Dating/Wedding Date,,FF.net,
,,,,,,?,
